series_id,station_id,station,river,variable,var_id,unit,network,province,procedure,lat,lon,live,percentiles
3273,61,El Soberbio,URUGUAY,Altura hidrométrica,2,,alturas_prefe,,,-27.3,-54.2,True,
3266,61,El Soberbio,URUGUAY,Caudal,4,,alturas_prefe,,,-27.3,-54.2,True,
25539,61,El Soberbio,URUGUAY,Altura hidrométrica media mensual,33,,alturas_prefe,,,-27.3,-54.2,True,
26658,61,El Soberbio,URUGUAY,Caudal medio diario,40,,alturas_prefe,,,-27.3,-54.2,True,
25540,62,Alicia,URUGUAY,Altura hidrométrica media mensual,33,,alturas_prefe,,,-27.4375,-54.3553,True,
26659,62,Alicia,URUGUAY,Caudal medio diario,40,,alturas_prefe,,,-27.4375,-54.3553,True,
912,63,Alba Posse,URUGUAY,Caudal,4,,alturas_prefe,,,-27.572,-54.678494,True,
25541,63,Alba Posse,URUGUAY,Altura hidrométrica media mensual,33,,alturas_prefe,,,-27.572,-54.678494,True,
64,64,Panambí,URUGUAY,Altura hidrométrica,2,,alturas_prefe,,,-27.730627,-54.91305,True,
26306,64,Panambí,URUGUAY,Altura hidrométrica media diaria,39,,alturas_prefe,,,-27.730627,-54.91305,True,
26661,64,Panambí,URUGUAY,Caudal medio diario,40,,alturas_prefe,,,-27.730627,-54.91305,True,
7828,65,San Javier,URUGUAY,Altura hidrométrica,2,,alturas_prefe,,,-27.8833333333333,-55.1333333333333,True,
914,65,San Javier,URUGUAY,Caudal,4,,alturas_prefe,,,-27.8833333333333,-55.1333333333333,True,
25543,65,San Javier,URUGUAY,Altura hidrométrica media mensual,33,,alturas_prefe,,,-27.8833333333333,-55.1333333333333,True,
26307,65,San Javier,URUGUAY,Altura hidrométrica media diaria,39,,alturas_prefe,,,-27.8833333333333,-55.1333333333333,True,
26662,65,San Javier,URUGUAY,Caudal medio diario,40,,alturas_prefe,,,-27.8833333333333,-55.1333333333333,True,
66,66,Puerto Concepción,URUGUAY,Altura hidrométrica,2,,alturas_prefe,,,-28.119193,-55.581369,True,
25544,66,Puerto Concepción,URUGUAY,Altura hidrométrica media mensual,33,,alturas_prefe,,,-28.119193,-55.581369,True,
26308,66,Puerto Concepción,URUGUAY,Altura hidrométrica media diaria,39,,alturas_prefe,,,-28.119193,-55.581369,True,
