series_id,station_id,station,river,variable,var_id,unit,network,procedure,lat,lon,live,n_obs,last_seen,percentiles
26576,2822,Pilcomayo - El Raúl,,Altura hidrométrica media diaria,39,,sat2,,-22.65,-62.2163888888889,,,,
35948,2822,Pilcomayo - El Raúl,,Caudal medio diario,40,,sat2,,-22.65,-62.2163888888889,,,,
9410,2823,Juramento - Cabra Corral,,Altura hidrométrica,2,,sat2,,-25.2677777777778,-65.2372222222222,True,16,2026-08-30T19:00:00.000Z,
9197,2824,Valenzuela - Valle Noble,,Altura hidrométrica,2,,sat2,,-35.3241666666667,-70.3111111111111,,,,
26578,2824,Valenzuela - Valle Noble,,Altura hidrométrica media diaria,39,,sat2,,-35.3241666666667,-70.3111111111111,,,,
9108,2825,Santa Lucia - Santa Lucia,,Altura hidrométrica,2,,sat2,,-28.9877777777778,-59.0905555555556,,,,
26579,2825,Santa Lucia - Santa Lucia,,Altura hidrométrica media diaria,39,,sat2,,-28.9877777777778,-59.0905555555556,,,,
26580,2826,Pilcomayo - Puesto Jerez,,Altura hidrométrica media diaria,39,,sat2,,-22.7280555555556,-62.2133333333333,,,,
38431,2826,Pilcomayo - Puesto Jerez,,Altura hidrométrica 4-horaria,101,,sat2,,-22.7280555555556,-62.2133333333333,,,,
9020,2828,Río Salado RN Nº 11,,Altura hidrométrica,2,,sat2,,-27.5413888888889,-59.1308333333333,,,,
26581,2828,Río Salado RN Nº 11,,Altura hidrométrica media diaria,39,,sat2,,-27.5413888888889,-59.1308333333333,,,,
38424,2828,Río Salado RN Nº 11,,Altura hidrométrica 4-horaria,101,,sat2,,-27.5413888888889,-59.1308333333333,False,0,,
9442,2830,Paraná Guazú - Brazo Largo,Paraná Guazú,Altura hidrométrica,2,,sat2,,-33.8830555555556,-58.9,,,,
29447,2830,Paraná Guazú - Brazo Largo,Paraná Guazú,Caudal,4,,sat2,,-33.8830555555556,-58.9,,,,
38441,2830,Paraná Guazú - Brazo Largo,Paraná Guazú,Altura hidrométrica 4-horaria,101,,sat2,,-33.8830555555556,-58.9,,,,
9411,2831,Senguerr - Facundo,,Altura hidrométrica,2,,sat2,,-45.3191666666667,-69.9477777777778,False,0,,
26584,2831,Senguerr - Facundo,,Altura hidrométrica media diaria,39,,sat2,,-45.3191666666667,-69.9477777777778,,,,
38438,2831,Senguerr - Facundo,,Altura hidrométrica 4-horaria,101,,sat2,,-45.3191666666667,-69.9477777777778,False,0,,
9021,2832,Corriente - Paso Lucero,,Altura hidrométrica,2,,sat2,,-28.995,-58.5583333333333,True,71,2026-08-31T00:00:00.000Z,False
26585,2832,Corriente - Paso Lucero,,Altura hidrométrica media diaria,39,,sat2,,-28.995,-58.5583333333333,,,,
35429,2832,Corriente - Paso Lucero,,Caudal medio diario,40,,sat2,,-28.995,-58.5583333333333,,,,
9443,2834,Lago Epuyen - Muelle,,Altura hidrométrica,2,,sat2,,-42.2083333333333,-71.4227777777778,,,,
26587,2834,Lago Epuyen - Muelle,,Altura hidrométrica media diaria,39,,sat2,,-42.2083333333333,-71.4227777777778,,,,
9400,2835,Río Tercero - Villa María,,Altura hidrométrica,2,,sat2,,-32.4219444444444,-63.2447222222222,,,,
26588,2835,Río Tercero - Villa María,,Altura hidrométrica media diaria,39,,sat2,,-32.4219444444444,-63.2447222222222,,,,
9200,2836,Aº Barrancas - Paso La Llana,,Altura hidrométrica,2,,sat2,,-30.2172222222222,-59.3244444444444,True,10,2026-08-30T23:00:00.000Z,False
26589,2836,Aº Barrancas - Paso La Llana,,Altura hidrométrica media diaria,39,,sat2,,-30.2172222222222,-59.3244444444444,True,2,2026-08-29T03:00:00.000Z,
38433,2836,Aº Barrancas - Paso La Llana,,Altura hidrométrica 4-horaria,101,,sat2,,-30.2172222222222,-59.3244444444444,True,17,2026-08-30T19:00:00.000Z,
9412,2837,Nogoya - RN Nº12,,Altura hidrométrica,2,,sat2,,-32.3947222222222,-59.7638888888889,True,71,2026-08-31T00:00:00.000Z,
26590,2837,Nogoya - RN Nº12,,Altura hidrométrica media diaria,39,,sat2,,-32.3947222222222,-59.7638888888889,,,,
38439,2837,Nogoya - RN Nº12,,Altura hidrométrica 4-horaria,101,,sat2,,-32.3947222222222,-59.7638888888889,True,17,2026-08-30T19:00:00.000Z,
9022,2838,Aº Saladillo - RN Nº205,,Altura hidrométrica,2,,sat2,,-35.4594444444445,-59.5747222222222,,,,
26591,2838,Aº Saladillo - RN Nº205,,Altura hidrométrica media diaria,39,,sat2,,-35.4594444444445,-59.5747222222222,True,2,2026-08-29T03:00:00.000Z,
38426,2838,Aº Saladillo - RN Nº205,,Altura hidrométrica 4-horaria,101,,sat2,,-35.4594444444445,-59.5747222222222,True,17,2026-08-30T19:00:00.000Z,
9492,2842,Lago Posadas - Posadas,,Altura hidrométrica,2,,sat2,,-47.5113888888889,-71.8719444444444,,,,
9493,2843,Mitre - Ruta Prov. Nº11,,Altura hidrométrica,2,,sat2,,-50.3997222222222,-72.7338888888889,,,,
38448,2843,Mitre - Ruta Prov. Nº11,,Altura hidrométrica 4-horaria,101,,sat2,,-50.3997222222222,-72.7338888888889,False,0,,
9494,2844,Lago Pueyrredón - Pueyrredón,,Altura hidrométrica,2,,sat2,,-47.3758333333333,-71.9680555555556,True,6,2026-08-30T19:00:00.000Z,False
26596,2844,Lago Pueyrredón - Pueyrredón,,Altura hidrométrica media diaria,39,,sat2,,-47.3758333333333,-71.9680555555556,,,,
9495,2845,Lago San Martín - Brazo Chacab,,Altura hidrométrica,2,,sat2,,-49.1238888888889,-72.4855555555555,False,0,,
26597,2845,Lago San Martín - Brazo Chacab,,Altura hidrométrica media diaria,39,,sat2,,-49.1238888888889,-72.4855555555555,False,0,,
38450,2845,Lago San Martín - Brazo Chacab,,Altura hidrométrica 4-horaria,101,,sat2,,-49.1238888888889,-72.4855555555555,,,,
32025,2846,Pilcomayo - Misión La Paz,,Altura hidrométrica,2,,sat2,,-22.3775,-62.5236111111111,,,,
37849,2846,Pilcomayo - Misión La Paz,,Altura hidrométrica media diaria,39,,sat2,,-22.3775,-62.5236111111111,True,2,2026-08-29T03:00:00.000Z,False
34138,2848,Neuquén - Paso de Indios MET,,Altura hidrométrica,2,,sat2,,-38.5316666666667,-69.4122222222222,,,,
38154,2848,Neuquén - Paso de Indios MET,,Altura hidrométrica media diaria,39,,sat2,,-38.5316666666667,-69.4122222222222,,,,
38697,2848,Neuquén - Paso de Indios MET,,Altura hidrométrica 4-horaria,101,,sat2,,-38.5316666666667,-69.4122222222222,False,0,,
9550,2853,Gualeguay - Paso Alonso,,Altura hidrométrica,2,,sat2,,-33.1005555555556,-59.2702777777778,,,,
26598,2853,Gualeguay - Paso Alonso,,Altura hidrométrica media diaria,39,,sat2,,-33.1005555555556,-59.2702777777778,,,,
9551,2854,Aº Riachuelo - RP Nº5,,Altura hidrométrica,2,,sat2,,-27.5105555555556,-58.5697222222222,,,,
26599,2854,Aº Riachuelo - RP Nº5,,Altura hidrométrica media diaria,39,,sat2,,-27.5105555555556,-58.5697222222222,True,2,2026-08-29T03:00:00.000Z,False
